Episode,Steps,Time,Converged at Iterations
0,16,0.02506089210510254,5
1,41,0.02897047996520996,5
2,27,0.015988826751708984,2
3,48,0.015003442764282227,2
4,54,0.014997005462646484,2
5,41,0.014999866485595703,2
6,100,0.02500319480895996,5
7,37,0.02499699592590332,5
8,39,0.021000385284423828,2
9,25,0.0240175724029541,5
10,28,0.008985757827758789,1
11,8,0.028992891311645508,5
12,7,0.01999521255493164,2
13,48,0.02000141143798828,2
14,26,0.026000261306762695,5
15,38,0.027999401092529297,5
16,76,0.030004262924194336,5
17,26,0.01999521255493164,3
18,50,0.026002883911132812,3
19,9,0.014997005462646484,2
20,100,0.023002147674560547,3
21,13,0.013002872467041016,1
22,33,0.02699899673461914,5
23,100,0.0229949951171875,4
24,100,0.025998830795288086,5
25,87,0.015004634857177734,1
26,19,0.02900099754333496,5
27,42,0.025029659271240234,5
28,10,0.022959470748901367,3
29,36,0.020999670028686523,3
30,31,0.01699972152709961,2
31,40,0.015001773834228516,2
32,20,0.022998809814453125,4
33,77,0.03000020980834961,5
34,18,0.01999974250793457,3
35,36,0.01599907875061035,2
36,29,0.02100348472595215,4
37,30,0.01599574089050293,2
38,27,0.028039216995239258,3
39,17,0.01898336410522461,2
40,10,0.025990724563598633,3
41,9,0.02800297737121582,5
42,23,0.017017126083374023,2
43,24,0.015994548797607422,2
44,15,0.025004148483276367,5
45,61,0.01199483871459961,1
46,61,0.018004179000854492,2
47,71,0.025998830795288086,3
48,73,0.01599574089050293,2
49,11,0.01700305938720703,2
50,43,0.019999980926513672,3
51,9,0.011002063751220703,1
52,17,0.026998519897460938,5
53,18,0.033997535705566406,4
54,25,0.025998592376708984,5
55,100,0.02200603485107422,3
56,33,0.016002655029296875,2
57,61,0.019982576370239258,3
58,80,0.02400517463684082,5
59,66,0.022968530654907227,3
60,100,0.02299976348876953,3
61,13,0.017000675201416016,2
62,75,0.017502784729003906,2
63,34,0.028522491455078125,5
64,52,0.022002458572387695,3
65,34,0.01999497413635254,3
66,92,0.01500082015991211,2
67,37,0.02100205421447754,4
68,54,0.008998632431030273,1
69,47,0.021999835968017578,2
70,7,0.022001266479492188,4
71,48,0.016000032424926758,2
72,100,0.0210268497467041,3
73,33,0.034828901290893555,5
74,24,0.01799488067626953,2
75,41,0.018001556396484375,2
76,34,0.022998809814453125,3
77,11,0.028000831604003906,3
78,10,0.02399897575378418,3
79,39,0.03500199317932129,3
80,20,0.02299952507019043,3
81,31,0.026998043060302734,5
82,10,0.015996217727661133,2
83,29,0.019002437591552734,3
84,41,0.030026912689208984,5
85,29,0.029990434646606445,5
86,20,0.026005983352661133,4
87,72,0.021991252899169922,4
88,56,0.029014110565185547,5
89,8,0.024007797241210938,3
90,35,0.025053977966308594,3
91,42,0.027990102767944336,5
92,39,0.02197551727294922,4
93,41,0.02699112892150879,4
94,55,0.027010440826416016,5
95,10,0.010998249053955078,1
96,29,0.028000354766845703,5
97,59,0.02400660514831543,2
98,41,0.021992206573486328,4
99,100,0.033532142639160156,5
100,55,0.02998948097229004,3
101,66,0.023055076599121094,3
102,23,0.022996902465820312,3
103,20,0.02599930763244629,5
104,27,0.031005382537841797,5
105,61,0.020993709564208984,3
106,18,0.023003578186035156,3
107,35,0.015010833740234375,2
108,55,0.017987966537475586,2
109,10,0.020999431610107422,2
110,24,0.025995254516601562,3
111,36,0.01700448989868164,2
112,22,0.018021583557128906,2
113,58,0.024999618530273438,5
114,99,0.022961139678955078,3
115,43,0.021000146865844727,2
116,18,0.015000104904174805,2
117,22,0.010998964309692383,1
118,30,0.02500176429748535,5
119,57,0.012998104095458984,2
120,26,0.019002437591552734,2
121,73,0.018997907638549805,2
122,100,0.028005123138427734,5
123,23,0.021991729736328125,3
124,92,0.023015260696411133,3
125,17,0.014967679977416992,2
126,100,0.02500009536743164,5
127,33,0.020998477935791016,3
128,15,0.017996788024902344,2
129,100,0.030999422073364258,5
130,54,0.02500462532043457,5
131,100,0.020999431610107422,4
132,20,0.0169980525970459,2
133,39,0.027001142501831055,5
