Episode,Steps,Time,Converged at Iterations
0,81,0.10199904441833496,3
1,73,0.10953211784362793,3
2,75,0.17499566078186035,8
3,154,0.1125783920288086,4
4,36,0.17899775505065918,8
5,37,0.17806506156921387,8
6,62,0.17299461364746094,8
7,34,0.1811232566833496,8
8,122,0.20798659324645996,8
9,42,0.1849982738494873,9
10,108,0.10199832916259766,3
11,200,0.11600327491760254,4
12,122,0.17904114723205566,8
13,29,0.09499382972717285,3
14,74,0.09799981117248535,3
15,81,0.16300582885742188,8
16,69,0.11898612976074219,4
17,62,0.13403606414794922,5
18,42,0.08899974822998047,3
19,48,0.13499927520751953,5
20,40,0.1950380802154541,9
21,39,0.18503046035766602,9
22,89,0.18296051025390625,8
23,66,0.1119985580444336,4
24,163,0.10203051567077637,3
25,72,0.10099959373474121,3
26,36,0.18550872802734375,8
27,24,0.11601543426513672,4
28,128,0.10996699333190918,4
29,38,0.10300135612487793,3
30,135,0.0980224609375,3
31,55,0.2076714038848877,9
32,59,0.18302130699157715,8
33,184,0.15200066566467285,7
34,45,0.0980229377746582,3
35,94,0.17998957633972168,8
36,93,0.09798598289489746,3
37,89,0.19003891944885254,9
38,50,0.1849660873413086,8
39,90,0.18399596214294434,9
40,40,0.08100056648254395,2
41,100,0.11599898338317871,5
42,57,0.0950021743774414,3
43,83,0.1780986785888672,8
44,27,0.19699764251708984,9
45,64,0.1935276985168457,9
46,71,0.16699647903442383,7
47,172,0.10299873352050781,3
48,126,0.1300044059753418,4
49,40,0.10399913787841797,3
50,56,0.21301627159118652,9
51,52,0.09198355674743652,3
52,15,0.09102535247802734,3
53,56,0.18206095695495605,8
54,32,0.20804524421691895,9
55,70,0.19099974632263184,8
56,41,0.1670055389404297,8
57,74,0.17799901962280273,9
58,96,0.15900087356567383,7
59,39,0.1289815902709961,4
60,128,0.15700459480285645,6
61,24,0.10905027389526367,3
62,81,0.19903826713562012,9
63,25,0.13100576400756836,4
64,49,0.16906118392944336,8
65,22,0.20351219177246094,9
66,61,0.11300086975097656,4
67,93,0.08999967575073242,3
68,105,0.19299888610839844,8
69,35,0.09000301361083984,3
70,73,0.08451581001281738,2
71,74,0.10000276565551758,3
72,89,0.12398862838745117,4
73,154,0.06999826431274414,2
74,94,0.09399962425231934,3
75,42,0.09400129318237305,3
76,61,0.1829993724822998,8
77,55,0.17600178718566895,8
78,64,0.13500022888183594,5
79,80,0.17599892616271973,8
80,53,0.07000064849853516,2
81,48,0.2100517749786377,9
82,66,0.14699888229370117,7
83,92,0.16754841804504395,7
84,51,0.20099639892578125,8
85,49,0.19700336456298828,9
86,41,0.16899609565734863,8
87,94,0.09600281715393066,3
88,37,0.16199636459350586,8
89,145,0.1120138168334961,3
90,142,0.19303560256958008,9
91,36,0.18150877952575684,8
92,62,0.18499970436096191,9
93,137,0.10500025749206543,3
94,50,0.14700102806091309,6
95,44,0.10300326347351074,3
96,109,0.17399978637695312,8
97,42,0.1430377960205078,5
98,77,0.13396000862121582,4
99,17,0.16801834106445312,7
100,79,0.1790933609008789,7
101,54,0.18599653244018555,8
102,31,0.20897650718688965,9
103,57,0.07703399658203125,2
104,39,0.18399763107299805,8
