Episode,Steps,Time,Converged at Iterations
0,41,0.14599823951721191,117
1,103,0.15302085876464844,117
2,71,0.14499735832214355,117
3,53,0.14200401306152344,117
4,55,0.16600561141967773,117
5,29,0.15002727508544922,117
6,121,0.1619729995727539,117
7,60,0.17499637603759766,117
8,53,0.22099900245666504,117
9,41,0.1790018081665039,117
10,65,0.16899824142456055,117
11,101,0.1569979190826416,117
12,93,0.14999914169311523,117
13,68,0.16208839416503906,117
14,72,0.14163923263549805,117
15,176,0.14999914169311523,117
16,73,0.15102338790893555,117
17,69,0.15199971199035645,117
18,82,0.1550002098083496,117
19,130,0.15000081062316895,117
20,95,0.1509993076324463,117
21,69,0.14400053024291992,117
22,54,0.16200852394104004,117
23,153,0.168989896774292,117
24,30,0.1550006866455078,117
25,77,0.1504654884338379,117
26,29,0.15752530097961426,117
27,24,0.14600038528442383,117
28,29,0.14700865745544434,117
29,60,0.16302728652954102,117
30,144,0.1459958553314209,117
31,50,0.16799521446228027,117
32,72,0.1540069580078125,117
33,116,0.15599322319030762,117
34,54,0.1645667552947998,117
35,96,0.15552067756652832,117
36,128,0.1450061798095703,117
37,102,0.15800023078918457,117
38,84,0.14499592781066895,117
39,36,0.14500021934509277,117
40,73,0.15399980545043945,117
41,50,0.16203093528747559,117
42,80,0.16999578475952148,117
43,52,0.15000414848327637,117
44,133,0.16751766204833984,117
45,103,0.15599703788757324,117
46,48,0.13709521293640137,117
47,81,0.1309814453125,117
48,59,0.14751029014587402,117
49,58,0.14600110054016113,117
50,72,0.13399815559387207,117
51,31,0.1380007266998291,117
52,60,0.13899946212768555,117
53,73,0.1459970474243164,117
54,32,0.14444518089294434,117
55,98,0.14129161834716797,117
56,70,0.14100313186645508,117
57,83,0.1349782943725586,117
58,61,0.13499903678894043,117
59,66,0.13900089263916016,117
60,48,0.14299702644348145,117
61,93,0.1600346565246582,117
62,118,0.14699864387512207,117
63,61,0.14705896377563477,117
64,32,0.16700077056884766,117
65,76,0.14600396156311035,117
66,43,0.15200090408325195,117
67,48,0.14299607276916504,117
68,115,0.13899946212768555,117
69,139,0.13200020790100098,117
70,118,0.16102075576782227,117
71,35,0.1419992446899414,117
72,84,0.13951683044433594,117
73,50,0.13899850845336914,117
74,95,0.14000821113586426,117
75,47,0.14200043678283691,117
76,92,0.13199734687805176,117
77,45,0.13499903678894043,117
78,52,0.13500189781188965,117
79,62,0.14299726486206055,117
80,95,0.1300029754638672,117
81,25,0.1410229206085205,117
82,27,0.14099645614624023,117
83,103,0.14200162887573242,117
84,49,0.1429898738861084,117
85,120,0.1660008430480957,117
86,107,0.14599990844726562,117
87,69,0.16100120544433594,117
88,197,0.15199851989746094,117
89,91,0.14700031280517578,117
90,36,0.13200044631958008,117
91,53,0.14300203323364258,117
92,35,0.13801121711730957,117
93,75,0.15297698974609375,117
94,58,0.14099955558776855,117
95,126,0.13399600982666016,117
96,59,0.1446065902709961,117
97,44,0.13197827339172363,117
98,49,0.1439967155456543,117
99,77,0.1580033302307129,117
100,55,0.13299822807312012,117
101,28,0.1490001678466797,117
102,46,0.13400506973266602,117
103,37,0.13999605178833008,117
104,51,0.14469075202941895,117
105,32,0.14202380180358887,117
106,49,0.13454198837280273,117
107,81,0.15299463272094727,117
108,38,0.14100289344787598,117
109,19,0.1560344696044922,117
110,88,0.14504504203796387,117
111,51,0.1439967155456543,117
112,30,0.14803004264831543,117
113,34,0.13200020790100098,117
114,136,0.14500641822814941,117
115,167,0.1419830322265625,117
116,28,0.1540851593017578,117
117,40,0.1450355052947998,117
118,68,0.14499926567077637,117
119,74,0.14299941062927246,117
120,91,0.1379985809326172,117
121,93,0.13400673866271973,117
122,140,0.14499449729919434,117
123,59,0.12798380851745605,117
124,89,0.13500022888183594,117
125,81,0.13500094413757324,117
126,41,0.14899778366088867,117
127,132,0.1419994831085205,117
128,129,0.13500308990478516,117
129,26,0.13897943496704102,117
130,83,0.14902544021606445,117
131,63,0.14803671836853027,117
132,54,0.14100408554077148,117
133,51,0.1589951515197754,117
134,41,0.14599895477294922,117
135,52,0.1390063762664795,117
136,81,0.14602041244506836,117
137,117,0.14299488067626953,117
138,81,0.15401577949523926,117
139,43,0.14603686332702637,117
140,111,0.15599799156188965,117
141,81,0.14401555061340332,117
142,63,0.14499878883361816,117
143,70,0.1550290584564209,117
144,200,0.14899802207946777,117
145,45,0.14370417594909668,117
146,41,0.13700199127197266,117
147,129,0.14358043670654297,117
148,58,0.15199995040893555,117
149,90,0.14400005340576172,117
150,91,0.13803410530090332,117
151,92,0.1439976692199707,117
152,82,0.1920013427734375,117
153,53,0.1770036220550537,117
154,61,0.1690976619720459,117
155,142,0.15699410438537598,117
156,65,0.15704035758972168,117
157,35,0.1520099639892578,117
158,83,0.13799452781677246,117
159,81,0.14894771575927734,117
160,65,0.16303205490112305,117
161,28,0.21900057792663574,117
162,41,0.18100523948669434,117
163,81,0.1650254726409912,117
164,65,0.15604853630065918,117
165,48,0.14299750328063965,117
166,27,0.14208102226257324,117
167,38,0.1500232219696045,117
168,74,0.1501142978668213,117
169,100,0.14998602867126465,117
170,51,0.1640005111694336,117
171,52,0.14401721954345703,117
172,73,0.1399986743927002,117
173,39,0.14800190925598145,117
174,142,0.15500950813293457,117
175,152,0.1569666862487793,117
176,70,0.15300321578979492,117
177,60,0.1399993896484375,117
178,95,0.14799714088439941,117
179,61,0.14600133895874023,117
180,77,0.14704036712646484,117
181,83,0.15300345420837402,117
182,78,0.1530289649963379,117
183,60,0.15199518203735352,117
184,67,0.14252281188964844,117
185,94,0.1470036506652832,117
186,47,0.1419970989227295,117
187,36,0.14298748970031738,117
188,47,0.14100050926208496,117
189,73,0.15400004386901855,117
190,13,0.1439964771270752,117
191,57,0.15900087356567383,117
192,80,0.15000367164611816,117
193,55,0.14699959754943848,117
194,74,0.14403772354125977,117
195,106,0.1530916690826416,117
196,73,0.14596056938171387,117
197,82,0.15799808502197266,117
198,139,0.15300989151000977,117
199,30,0.147963285446167,117
200,55,0.14600014686584473,117
201,25,0.14400267601013184,117
202,56,0.154038667678833,117
203,200,0.14795875549316406,117
204,34,0.14300251007080078,117
205,53,0.1459965705871582,117
206,42,0.1410064697265625,117
207,72,0.1629941463470459,117
208,97,0.14803457260131836,117
209,76,0.15506935119628906,117
210,65,0.1549975872039795,117
211,29,0.15098333358764648,117
212,33,0.15599632263183594,117
213,68,0.15900278091430664,117
214,78,0.15099763870239258,117
215,56,0.14800024032592773,117
216,49,0.15302705764770508,117
217,30,0.13800048828125,117
218,132,0.14400148391723633,117
219,38,0.15399837493896484,117
220,57,0.14100170135498047,117
221,20,0.15000009536743164,117
222,33,0.14299654960632324,117
223,39,0.14700007438659668,117
224,88,0.1510019302368164,117
225,33,0.15099859237670898,117
226,71,0.14999890327453613,117
227,86,0.14305377006530762,117
228,51,0.14500093460083008,117
229,23,0.15399980545043945,117
230,41,0.14799952507019043,117
231,82,0.15300345420837402,117
232,48,0.15199613571166992,117
233,139,0.14202666282653809,117
234,40,0.15196752548217773,117
235,45,0.14400529861450195,117
236,23,0.1500248908996582,117
237,32,0.15504121780395508,117
238,39,0.1359996795654297,117
239,36,0.15308141708374023,117
240,107,0.15699982643127441,117
241,30,0.15799999237060547,117
242,64,0.15301156044006348,117
243,33,0.1419999599456787,117
244,49,0.14856195449829102,117
245,43,0.15099859237670898,117
246,87,0.14399933815002441,117
247,145,0.15203309059143066,117
248,76,0.15399551391601562,117
249,78,0.15802741050720215,117
250,129,0.17403125762939453,117
251,115,0.1470015048980713,117
252,113,0.1509995460510254,117
253,140,0.14099907875061035,117
254,35,0.14802289009094238,117
255,36,0.14151692390441895,117
256,85,0.14200067520141602,117
257,200,0.1439990997314453,117
258,55,0.15700244903564453,117
259,111,0.15599870681762695,117
260,54,0.15399885177612305,117
261,69,0.15000081062316895,117
262,62,0.17698192596435547,117
263,103,0.1490778923034668,117
264,99,0.15050840377807617,117
265,200,0.18103814125061035,117
266,63,0.1620171070098877,117
267,44,0.14253878593444824,117
268,38,0.1510026454925537,117
269,52,0.1470177173614502,117
270,56,0.15299701690673828,117
271,101,0.15760183334350586,117
272,121,0.15299081802368164,117
273,26,0.15352392196655273,117
274,35,0.15700745582580566,117
275,77,0.1469888687133789,117
276,88,0.14300298690795898,117
277,47,0.1709740161895752,117
278,49,0.14799952507019043,117
279,80,0.1680002212524414,117
280,54,0.18000149726867676,117
281,64,0.15602564811706543,117
282,178,0.14400196075439453,117
283,55,0.15851783752441406,117
284,106,0.15099620819091797,117
285,102,0.14400243759155273,117
286,37,0.15306735038757324,117
287,85,0.1510019302368164,117
288,103,0.14799761772155762,117
289,29,0.1470355987548828,117
290,43,0.14751386642456055,117
291,41,0.15199804306030273,117
292,51,0.15899896621704102,117
293,95,0.153001070022583,117
294,104,0.14899492263793945,117
295,53,0.15000271797180176,117
296,88,0.15356183052062988,117
297,57,0.1529991626739502,117
298,56,0.14806365966796875,117
299,60,0.14205670356750488,117
300,101,0.1389913558959961,117
301,108,0.1509995460510254,117
302,75,0.1450026035308838,117
303,136,0.1569995880126953,117
304,33,0.15900397300720215,117
305,78,0.14099645614624023,117
306,138,0.16551899909973145,117
307,35,0.14895319938659668,117
308,85,0.14502501487731934,117
309,132,0.14302468299865723,117
310,121,0.17503571510314941,117
311,72,0.1560068130493164,117
312,52,0.1560664176940918,117
313,60,0.1560344696044922,117
314,59,0.15406298637390137,117
315,36,0.14299511909484863,117
316,44,0.14151310920715332,117
317,52,0.15199971199035645,117
318,200,0.14999866485595703,117
319,180,0.13600516319274902,117
320,200,0.15396618843078613,117
321,86,0.1510012149810791,117
322,97,0.1529996395111084,117
323,88,0.14800381660461426,117
324,79,0.15799999237060547,117
325,25,0.1439981460571289,117
326,84,0.14600348472595215,117
327,120,0.14899396896362305,117
328,104,0.1550006866455078,117
329,82,0.16108226776123047,117
330,67,0.1467268466949463,117
331,130,0.1530296802520752,117
332,47,0.15551090240478516,117
333,64,0.1629793643951416,117
334,92,0.14099836349487305,117
335,64,0.15800118446350098,117
336,62,0.15700221061706543,117
337,48,0.14999771118164062,117
338,85,0.14499998092651367,117
339,42,0.1659986972808838,117
340,18,0.16400527954101562,117
341,56,0.15699481964111328,117
342,70,0.14902782440185547,117
343,150,0.141524076461792,117
344,47,0.1379997730255127,117
345,45,0.15952801704406738,117
346,61,0.1499948501586914,117
347,43,0.14700031280517578,117
348,63,0.1580054759979248,117
349,124,0.16609406471252441,117
350,91,0.17800545692443848,117
351,43,0.15599441528320312,117
352,128,0.1490027904510498,117
353,147,0.1550002098083496,117
354,107,0.16699790954589844,117
355,67,0.15906381607055664,117
356,69,0.14999985694885254,117
357,31,0.1480426788330078,117
358,28,0.15595698356628418,117
359,68,0.15500593185424805,117
360,66,0.16855216026306152,117
361,60,0.15800929069519043,117
362,69,0.16298437118530273,117
363,58,0.1510021686553955,117
364,45,0.14703083038330078,117
365,38,0.1600031852722168,117
366,57,0.17756271362304688,117
367,58,0.15199828147888184,117
368,160,0.1455681324005127,117
369,132,0.14898252487182617,117
370,56,0.157515287399292,117
371,64,0.14800477027893066,117
372,40,0.15901541709899902,117
373,97,0.14500069618225098,117
374,74,0.16099977493286133,117
375,29,0.16500091552734375,117
376,154,0.1589982509613037,117
377,82,0.1470320224761963,117
378,46,0.14099788665771484,117
379,58,0.15800070762634277,117
380,110,0.15700030326843262,117
381,37,0.16293931007385254,117
382,86,0.16300582885742188,117
383,41,0.15899944305419922,117
384,57,0.15299534797668457,117
385,92,0.13900065422058105,117
386,78,0.14804911613464355,117
387,42,0.15900301933288574,117
388,44,0.1549980640411377,117
389,37,0.1600039005279541,117
390,74,0.15699505805969238,117
391,59,0.14603400230407715,117
392,116,0.15699458122253418,117
393,76,0.17401790618896484,117
394,84,0.1519780158996582,117
395,40,0.15403985977172852,117
396,63,0.14498090744018555,117
397,67,0.15798187255859375,117
398,59,0.15400028228759766,117
399,117,0.14799976348876953,117
400,46,0.15154290199279785,117
401,24,0.14851164817810059,117
402,139,0.14699983596801758,117
403,73,0.15100383758544922,117
404,40,0.17403078079223633,117
405,50,0.15101051330566406,117
406,33,0.16396665573120117,117
407,76,0.15302538871765137,117
408,83,0.15096330642700195,117
409,76,0.14899992942810059,117
410,55,0.1620006561279297,117
411,38,0.15975522994995117,117
412,17,0.14300012588500977,117
413,79,0.15673470497131348,117
414,54,0.15500235557556152,117
415,73,0.14999771118164062,117
416,54,0.13898849487304688,117
417,63,0.15200424194335938,117
418,79,0.16101765632629395,117
419,42,0.1699810028076172,117
420,80,0.15400004386901855,117
421,37,0.1450023651123047,117
422,31,0.14000844955444336,117
423,65,0.16697192192077637,117
424,54,0.16199636459350586,117
425,34,0.15501093864440918,117
426,32,0.16117358207702637,117
427,84,0.15100407600402832,117
428,71,0.16100215911865234,117
429,104,0.15697121620178223,117
430,107,0.15500164031982422,117
431,84,0.1459980010986328,117
432,107,0.1490182876586914,117
433,46,0.15299534797668457,117
434,35,0.1569995880126953,117
435,69,0.14703035354614258,117
436,49,0.1369943618774414,117
437,29,0.1490023136138916,117
438,32,0.15265846252441406,117
439,74,0.16402101516723633,117
440,79,0.16400456428527832,117
441,32,0.15800189971923828,117
442,132,0.15497159957885742,117
443,52,0.14700031280517578,117
444,45,0.1557769775390625,117
445,87,0.1569986343383789,117
446,44,0.16352128982543945,117
447,47,0.15099573135375977,117
448,85,0.15100383758544922,117
449,135,0.1529984474182129,117
450,89,0.15700364112854004,117
451,80,0.14399313926696777,117
452,37,0.15800046920776367,117
453,79,0.1419999599456787,117
454,142,0.15000391006469727,117
455,19,0.14702177047729492,117
456,104,0.13900232315063477,117
457,94,0.15254688262939453,117
458,155,0.15599417686462402,117
459,53,0.16500043869018555,117
460,33,0.15099501609802246,117
461,57,0.14199590682983398,117
462,128,0.17999768257141113,117
463,60,0.16300058364868164,117
464,75,0.15199851989746094,117
465,70,0.1660783290863037,117
466,47,0.1585221290588379,117
467,55,0.15499496459960938,117
468,55,0.16000056266784668,117
469,48,0.14102792739868164,117
470,26,0.1469709873199463,117
471,32,0.14500021934509277,117
472,33,0.14400124549865723,117
473,61,0.1549985408782959,117
474,60,0.13700175285339355,117
475,65,0.1509993076324463,117
