Episode,Steps,Time,Converged at Iterations
0,14,2.239690065383911,17
1,12,1.9231204986572266,15
2,14,2.2170281410217285,17
3,7,2.301745891571045,17
4,11,2.202129602432251,17
5,10,2.257697343826294,17
6,10,1.834080696105957,14
7,17,2.2773520946502686,17
8,14,2.2778890132904053,17
9,14,2.2886884212493896,17
10,10,2.013622999191284,15
11,10,2.2597763538360596,17
12,15,2.1719393730163574,17
13,12,2.509446620941162,16
14,11,2.453399896621704,17
15,16,2.6055352687835693,17
16,11,2.315300703048706,16
17,12,2.5521435737609863,17
18,10,2.5305564403533936,17
19,14,2.257401943206787,16
20,11,2.505154609680176,16
21,11,2.4897546768188477,16
22,10,2.94819974899292,17
23,17,2.4787285327911377,17
24,13,2.4372594356536865,16
25,15,2.83567214012146,17
26,13,2.1927683353424072,15
27,14,2.747234582901001,17
28,8,2.425353527069092,17
29,9,2.2978668212890625,15
30,12,2.273672342300415,16
31,15,2.5734407901763916,15
32,15,2.538003921508789,16
33,10,2.200195074081421,16
34,17,2.3861443996429443,17
35,10,2.4158644676208496,17
36,14,2.2549080848693848,17
37,11,2.1666016578674316,17
38,13,2.4467403888702393,16
39,13,2.32407546043396,16
40,15,2.234654188156128,16
41,14,2.118422269821167,16
42,14,2.0793890953063965,16
43,16,2.0845224857330322,17
44,13,1.872260332107544,15
45,11,1.983445644378662,16
46,16,1.9422547817230225,16
47,15,2.1493911743164062,17
48,14,2.243313789367676,17
49,13,1.9631462097167969,15
50,16,1.8966209888458252,15
51,13,1.94258451461792,16
52,9,2.0745413303375244,17
53,13,2.0608391761779785,16
54,8,2.0330803394317627,16
55,11,2.1711254119873047,16
56,14,2.2900521755218506,17
57,14,2.246141195297241,17
58,15,2.23995041847229,17
59,12,1.885702133178711,14
60,12,1.9857077598571777,15
61,15,2.0810928344726562,17
62,11,2.029616355895996,16
63,15,2.2554471492767334,17
64,16,2.066614866256714,16
65,13,1.920135259628296,14
66,8,2.256920337677002,17
67,10,2.003880500793457,15
68,11,2.216055393218994,17
69,16,2.3903915882110596,17
70,7,2.3058533668518066,17
71,13,2.2765958309173584,17
72,10,1.9828200340270996,16
73,12,1.9024126529693604,15
74,14,2.250985622406006,17
75,12,2.2540664672851562,17
76,14,1.8781206607818604,15
77,13,2.1247806549072266,16
78,18,2.272804021835327,16
79,16,2.40631365776062,17
80,12,2.0445210933685303,15
81,16,2.113176107406616,16
82,15,2.227790355682373,17
83,8,1.8415858745574951,15
84,14,2.2558178901672363,17
85,15,2.16589617729187,16
86,10,2.1262829303741455,15
87,10,2.122758150100708,17
88,15,2.154294013977051,16
89,13,2.0276882648468018,16
90,14,2.2586374282836914,17
91,14,2.2722320556640625,16
92,7,2.310185432434082,17
93,9,2.3651363849639893,17
94,13,2.2605011463165283,16
95,13,1.9651615619659424,15
96,17,2.0680952072143555,17
97,11,2.246072769165039,16
98,10,1.9375839233398438,15
99,6,2.352710008621216,17
